"date_str","opp","result","record","team","league","division","pct","date_str2"
"Monday, Apr 6","OAK","L","0-1","TEX","AL","west",0,2015-04-06
"Tuesday, Apr 7","OAK","W","1-1","TEX","AL","west",0.5,2015-04-07
"Wednesday, Apr 8","OAK","L","1-2","TEX","AL","west",0.333333333333333,2015-04-08
"Thursday, Apr 9","OAK","W","2-2","TEX","AL","west",0.5,2015-04-09
"Friday, Apr 10","HOU","L","2-3","TEX","AL","west",0.4,2015-04-10
"Saturday, Apr 11","HOU","W","3-3","TEX","AL","west",0.5,2015-04-11
"Sunday, Apr 12","HOU","L","3-4","TEX","AL","west",0.428571428571429,2015-04-12
"Monday, Apr 13","LAA","L","3-5","TEX","AL","west",0.375,2015-04-13
"Tuesday, Apr 14","LAA","W","4-5","TEX","AL","west",0.444444444444444,2015-04-14
"Wednesday, Apr 15","LAA","L","4-6","TEX","AL","west",0.4,2015-04-15
"Friday, Apr 17","SEA","W","5-6","TEX","AL","west",0.454545454545455,2015-04-17
"Saturday, Apr 18","SEA","L","5-7","TEX","AL","west",0.416666666666667,2015-04-18
"Sunday, Apr 19","SEA","L-wo","5-8","TEX","AL","west",0.384615384615385,2015-04-19
"Tuesday, Apr 21","ARI","W","6-8","TEX","AL","west",0.428571428571429,2015-04-21
"Wednesday, Apr 22","ARI","L","6-9","TEX","AL","west",0.4,2015-04-22
"Friday, Apr 24","LAA","L","6-10","TEX","AL","west",0.375,2015-04-24
"Saturday, Apr 25","LAA","L","6-11","TEX","AL","west",0.352941176470588,2015-04-25
"Sunday, Apr 26","LAA","W","7-11","TEX","AL","west",0.388888888888889,2015-04-26
"Monday, Apr 27","SEA","L","7-12","TEX","AL","west",0.368421052631579,2015-04-27
"Tuesday, Apr 28","SEA","L","7-13","TEX","AL","west",0.35,2015-04-28
"Wednesday, Apr 29","SEA","L","7-14","TEX","AL","west",0.333333333333333,2015-04-29
"Friday, May 1","OAK","L","7-15","TEX","AL","west",0.318181818181818,2015-05-01
"Saturday, May 2","OAK","W-wo","8-15","TEX","AL","west",0.347826086956522,2015-05-02
"Sunday, May 3","OAK","L","8-16","TEX","AL","west",0.333333333333333,2015-05-03
"Monday, May 4","HOU","W","9-16","TEX","AL","west",0.36,2015-05-04
"Tuesday, May 5","HOU","W","10-16","TEX","AL","west",0.384615384615385,2015-05-05
"Wednesday, May 6","HOU","W","11-16","TEX","AL","west",0.407407407407407,2015-05-06
"Thursday, May 7","TBR","W","12-16","TEX","AL","west",0.428571428571429,2015-05-07
"Friday, May 8","TBR","L","12-17","TEX","AL","west",0.413793103448276,2015-05-08
"Saturday, May 9","TBR","L","12-18","TEX","AL","west",0.4,2015-05-09
